"filename", "language", "Shell Script", "Python", "JavaScript", "HTML", "JSON", "CSS", "Batch", "PHP", "XML", "PowerShell", "Properties", "Markdown", "reStructuredText", "C", "comment", "blank", "total"
"c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\app.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\appearance.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\core-plugins-migration.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\core-plugins.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\hotkeys.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\workspace.json", "JSON", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153
"c:\Users\seanh\OneDrive\Aether\app.py", "Python", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\Flask-2.3.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\Jinja2-3.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\MarkupSafe-2.1.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\Werkzeug-2.3.6.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 32, 129
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker-1.6.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\__init__.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\_saferef.py", "Python", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 19, 231
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\_utilities.py", "Python", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 35, 143
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\base.py", "Python", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 55, 552
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click-8.1.4.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\__init__.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 74
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_compat.py", "Python", 0, 437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 126, 624
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_termui_impl.py", "Python", 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 117, 740
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_textwrap.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_winconsole.py", "Python", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54, 280
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\core.py", "Python", 0, 1596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1017, 430, 3043
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\decorators.py", "Python", 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 105, 571
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\exceptions.py", "Python", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 57, 289
"c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\formatting.py", "Python", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 46, 302
