Date : 2023-10-20 11:36:25
Directory : c:\Users\seanh\OneDrive\Aether
Total : 781 files,  194128 codes, 60777 comments, 32007 blanks, all 286912 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        695 |    174,051 |     60,393 |     31,505 |    265,949 |
| JSON             |         11 |     17,405 |          0 |          4 |     17,409 |
| JavaScript       |         21 |        819 |         63 |        135 |      1,017 |
| CSS              |         11 |        663 |          2 |        116 |        781 |
| HTML             |         21 |        443 |         40 |         57 |        540 |
| C                |          1 |        278 |          6 |         37 |        321 |
| reStructuredText |          7 |        155 |          0 |         40 |        195 |
| PowerShell       |          1 |        108 |        263 |         35 |        406 |
| Properties       |          2 |         75 |          4 |         10 |         89 |
| Batch            |          3 |         44 |          0 |         18 |         62 |
| Markdown         |          2 |         42 |          0 |         36 |         78 |
| PHP              |          3 |         26 |          0 |          7 |         33 |
| XML              |          2 |         15 |          1 |          1 |         17 |
| Shell Script     |          1 |          4 |          5 |          6 |         15 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        781 |    194,128 |     60,777 |     32,007 |    286,912 |
| . (Files)                                                                                                               |          2 |         33 |          5 |         12 |         50 |
| Project notes                                                                                                           |          6 |        207 |          0 |          0 |        207 |
| Project notes\.obsidian                                                                                                 |          6 |        207 |          0 |          0 |        207 |
| env                                                                                                                     |        697 |    174,539 |     60,619 |     31,529 |    266,687 |
| env (Files)                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| env\Lib                                                                                                                 |        693 |    174,387 |     60,356 |     31,476 |    266,219 |
| env\Lib\site-packages                                                                                                   |        693 |    174,387 |     60,356 |     31,476 |    266,219 |
| env\Lib\site-packages\Flask-2.3.2.dist-info                                                                             |          1 |         23 |          0 |          6 |         29 |
| env\Lib\site-packages\Jinja2-3.1.2.dist-info                                                                            |          1 |         23 |          0 |          6 |         29 |
| env\Lib\site-packages\MarkupSafe-2.1.3.dist-info                                                                        |          1 |         23 |          0 |          6 |         29 |
| env\Lib\site-packages\Werkzeug-2.3.6.dist-info                                                                          |          1 |         23 |          0 |          6 |         29 |
| env\Lib\site-packages\_distutils_hack                                                                                   |          2 |         79 |         19 |         33 |        131 |
| env\Lib\site-packages\blinker                                                                                           |          4 |        454 |        380 |        112 |        946 |
| env\Lib\site-packages\blinker-1.6.2.dist-info                                                                           |          1 |         17 |          0 |          4 |         21 |
| env\Lib\site-packages\click                                                                                             |         16 |      5,655 |      2,928 |      1,563 |     10,146 |
| env\Lib\site-packages\click-8.1.4.dist-info                                                                             |          1 |         23 |          0 |          6 |         29 |
| env\Lib\site-packages\colorama                                                                                          |         13 |      1,260 |        134 |        298 |      1,692 |
| env\Lib\site-packages\colorama (Files)                                                                                  |          6 |        634 |        107 |        147 |        888 |
| env\Lib\site-packages\colorama\tests                                                                                    |          7 |        626 |         27 |        151 |        804 |
| env\Lib\site-packages\flask                                                                                             |         22 |      3,902 |      3,727 |      1,184 |      8,813 |
| env\Lib\site-packages\flask (Files)                                                                                     |         19 |      3,656 |      3,394 |      1,060 |      8,110 |
| env\Lib\site-packages\flask\json                                                                                        |          3 |        246 |        333 |        124 |        703 |
| env\Lib\site-packages\itsdangerous                                                                                      |          8 |        548 |        322 |        200 |      1,070 |
| env\Lib\site-packages\itsdangerous-2.1.2.dist-info                                                                      |          1 |         23 |          0 |          6 |         29 |
| env\Lib\site-packages\jinja2                                                                                            |         25 |      8,474 |      3,550 |      2,234 |     14,258 |
| env\Lib\site-packages\markupsafe                                                                                        |          4 |        484 |         96 |        120 |        700 |
| env\Lib\site-packages\pip                                                                                               |        389 |    108,300 |     24,445 |     14,567 |    147,312 |
